location,year,male,female
CHE,1994,75.2,82.0
CHE,1995,75.4,81.9
CHE,1996,76.0,82.2
CHE,1997,76.3,82.2
CHE,1998,76.4,82.7
CHE,1999,76.8,82.7
CHE,2000,77.0,82.8
CHE,2001,77.5,83.2
CHE,2002,77.9,83.2
CHE,2003,78.0,83.2
CHE,2004,78.6,83.8
CHE,2005,78.7,84.0
CHE,2006,79.2,84.2
CHE,2007,79.5,84.4
CHE,2008,79.8,84.6
CHE,2009,79.9,84.6
CHE,2010,80.3,84.9
CHE,2011,80.5,85.0
CHE,2012,80.6,84.9
CHE,2013,80.7,85.0
CHE,2014,81.1,85.4
CHE,2015,80.8,85.1
CHL,1970,59.1,65.4
CHL,1990,69.4,76.5
CHL,1991,70.6,77.4
CHL,1992,71.4,77.6
CHL,1993,71.3,77.8
CHL,1994,71.7,78.3
CHL,1995,71.5,78.2
CHL,1996,71.8,78.6
CHL,1997,72.4,79.1
CHL,1998,72.6,79.0
CHL,1999,72.9,79.1
CHL,2000,73.7,80.0
CHL,2001,73.6,80.0
CHL,2002,74.1,80.3
CHL,2003,74.2,80.2
CHL,2004,74.2,80.2
CHL,2005,74.7,80.5
CHL,2006,75.1,80.8
CHL,2007,74.6,80.4
CHL,2008,75.2,81.0
CHL,2009,75.3,81.1
CHL,2010,75.2,80.9
CHL,2011,76.0,81.4
CHL,2012,76.1,81.3
CHL,2013,76.6,82.4
CHL,2014,76.8,82.5
CHL,2015,76.5,81.7
CHL,2016,76.7,81.8
CHN,1960,42.0,44.8
CHN,1961,42.3,45.1
CHN,1962,43.1,45.8
CHN,1963,44.2,47.1
CHN,1964,45.7,48.8
CHN,1965,47.5,50.8
CHN,1966,49.6,53.1
CHN,1967,51.6,55.3
CHN,1968,53.6,57.3
CHN,1969,55.4,59.1
CHN,1970,56.9,60.5
CHN,1971,58.2,61.7
CHN,1972,59.4,62.6
CHN,1973,60.4,63.5
CHN,1974,61.4,64.3
CHN,1975,62.2,65.0
CHN,1976,62.9,65.7
CHN,1977,63.6,66.4
CHN,1978,64.2,67.0
CHN,1979,64.7,67.5
CHN,1980,65.1,68.0
CHN,1981,65.5,68.5
CHN,1982,65.8,68.9
CHN,1983,66.1,69.2
CHN,1984,66.4,69.5
CHN,1985,66.6,69.8
CHN,1986,66.8,70.0
CHN,1987,67.0,70.2
CHN,1988,67.2,70.4
CHN,1989,67.3,70.5
CHN,1990,67.4,70.7
CHN,1991,67.5,70.9
CHN,1992,67.6,71.1
CHN,1993,67.8,71.3
CHN,1994,67.9,71.6
CHN,1995,68.1,71.8
CHN,1996,68.4,72.1
CHN,1997,68.8,72.4
CHN,1998,69.1,72.7
